point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
22,022-A,26-00-01-119,2025-05-09 12:40:29,"{'type': 'Point', 'coordinates': [120.298142, 49.456887]}",Hulunbuir_TNH_0,32.0,22.7,18.1,229.0,1290.0,014AcclimaTR310N3.217009934,690.7,150725NK0106037,6.54,8.282,8.409,38.971,True,2025-11-10 03:26:30.794,2025-11-10 03:13:38.020,X01B0801020208,已入库,2025-10-22 09:59:45.231,X01A0801020208,已入库,2025-10-22 09:59:45.229,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
23,023-A,26-00-01-120,2025-05-09 13:04:35,"{'type': 'Point', 'coordinates': [120.297355, 49.456422]}",Hulunbuir_TNH_0,30.7,26.3,17.1,234.0,1416.0,014AcclimaTR310N3.217009934,696.3,150725NK0106037,6.47,17.716,10.345,41.333,True,2025-11-10 03:26:30.809,2025-11-10 03:13:38.026,X01B0801020209,已入库,2025-10-22 09:59:45.236,X01A0801020209,已入库,2025-10-22 09:59:45.234,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
24,024-A,26-00-01-121,2025-05-09 13:08:21,"{'type': 'Point', 'coordinates': [120.299167, 49.456845]}",Hulunbuir_TNH_0,31.1,25.6,17.4,243.0,1441.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.6,13.702,8.636,20.588,True,2025-11-10 03:26:30.824,2025-11-10 03:13:38.033,X01B0801020210,已入库,2025-10-22 09:59:45.242,X01A0801020210,已入库,2025-10-22 09:59:45.240,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
25,025-A,26-00-01-122,2025-05-09 13:10:45,"{'type': 'Point', 'coordinates': [120.301146, 49.457302]}",Hulunbuir_TNH_0,31.7,26.3,17.8,231.0,1330.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.41,18.405,10.805,54.0,True,2025-11-10 03:26:30.839,2025-11-10 03:13:38.039,X01B0801020211,已入库,2025-10-22 09:59:45.248,X01A0801020211,已入库,2025-10-22 09:59:45.246,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
26,026-A,26-00-01-123,2025-05-09 13:13:42,"{'type': 'Point', 'coordinates': [120.30309, 49.457752]}",Hulunbuir_TNH_0,35.4,25.3,20.7,310.0,1470.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.47,11.107,2.273,33.088,True,2025-11-10 03:26:30.854,2025-11-10 03:13:38.045,X01B0801020212,已入库,2025-10-22 09:59:45.254,X01A0801020212,已入库,2025-10-22 09:59:45.252,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
27,027-A,26-00-01-124,2025-05-09 13:16:25,"{'type': 'Point', 'coordinates': [120.304955, 49.458183]}",Hulunbuir_TNH_0,29.2,26.5,16.0,201.0,1316.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.54,25.647,10.575,52.0,True,2025-11-10 03:26:30.869,2025-11-10 03:13:38.051,X01B0801020213,已入库,2025-10-22 09:59:45.259,X01A0801020213,已入库,2025-10-22 09:59:45.257,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
28,028-A,26-00-01-125,2025-05-09 13:19:45,"{'type': 'Point', 'coordinates': [120.307112, 49.458678]}",Hulunbuir_TNH_0,33.5,26.1,19.5,231.0,1208.0,014AcclimaTR310N3.217009934,679.1,150725NK0106037,6.37,13.779,1.591,27.206,True,2025-11-10 03:26:30.884,2025-11-10 03:13:38.057,X01B0801020214,已入库,2025-10-22 09:59:45.270,X01A0801020214,已入库,2025-10-22 09:59:45.267,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
29,029-A,26-00-01-126,2025-05-09 13:22:47,"{'type': 'Point', 'coordinates': [120.307368, 49.458283]}",Hulunbuir_TNH_0,34.2,26.1,19.9,249.0,1252.0,014AcclimaTR310N3.217009934,679.3,150725NK0106037,6.52,14.698,12.874,34.667,True,2025-11-10 03:26:30.905,2025-11-10 03:13:38.063,X01B0801020215,已入库,2025-10-22 09:59:45.275,X01A0801020215,已入库,2025-10-22 09:59:45.273,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
30,030-A,26-00-01-127,2025-05-09 13:26:30,"{'type': 'Point', 'coordinates': [120.305232, 49.457787]}",Hulunbuir_TNH_0,35.8,25.0,21.2,279.0,1290.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.45,10.802,4.091,27.206,True,2025-11-10 03:26:30.962,2025-11-10 03:13:38.073,X01B0801020216,已入库,2025-10-22 09:59:45.281,X01A0801020216,已入库,2025-10-22 09:59:45.279,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
31,031-A,26-00-01-128,2025-05-09 13:29:31,"{'type': 'Point', 'coordinates': [120.303332, 49.457344]}",Hulunbuir_TNH_0,32.8,24.8,18.8,261.0,1417.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.66,15.043,9.425,23.333,True,2025-11-10 03:26:30.974,2025-11-10 03:13:38.078,X01B0801020217,已入库,2025-10-22 09:59:45.287,X01A0801020217,已入库,2025-10-22 09:59:45.285,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
32,032-A,26-00-01-129,2025-05-09 13:32:24,"{'type': 'Point', 'coordinates': [120.301386, 49.456891]}",Hulunbuir_TNH_0,30.9,28.5,17.4,244.0,1458.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.59,13.55,2.273,20.588,True,2025-11-10 03:26:30.988,2025-11-10 03:13:38.083,X01B0801020218,已入库,2025-10-22 09:59:45.292,X01A0801020218,已入库,2025-10-22 09:59:45.290,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
33,033-A,26-00-01-130,2025-05-09 13:35:04,"{'type': 'Point', 'coordinates': [120.299409, 49.45643]}",Hulunbuir_TNH_0,28.2,27.3,15.5,217.0,1499.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.53,17.716,7.586,31.333,True,2025-11-10 03:26:31.005,2025-11-10 03:13:38.088,X01B0801020301,已入库,2025-10-22 09:59:45.299,X01A0801020301,已入库,2025-10-22 09:59:45.297,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
34,034-A,26-00-01-131,2025-05-09 13:38:17,"{'type': 'Point', 'coordinates': [120.29739, 49.455957]}",Hulunbuir_TNH_0,30.0,26.5,16.7,241.0,1503.0,014AcclimaTR310N3.217009934,696.6,150725NK0106037,6.43,13.724,5.909,30.882,True,2025-11-10 03:26:31.021,2025-11-10 03:13:38.093,X01B0801020302,已入库,2025-10-22 09:59:45.310,X01A0801020302,已入库,2025-10-22 09:59:45.308,False,2025-11-10 03:29:16.773,False,2025-11-10 05:47:20.311
35,035-A,26-00-01-132,2025-05-09 13:41:59,"{'type': 'Point', 'coordinates': [120.297582, 49.455512]}",Hulunbuir_TNH_0,29.6,24.5,16.4,247.0,1579.0,014AcclimaTR310N3.217009934,696.7,150725NK0106037,6.92,17.214,5.287,14.0,True,2025-11-10 03:26:31.036,2025-11-10 03:13:38.098,X01B0801020303,已入库,2025-10-22 09:59:45.316,X01A0801020303,已入库,2025-10-22 09:59:45.314,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
36,036-A,26-00-01-133,2025-05-09 13:47:03,"{'type': 'Point', 'coordinates': [120.299694, 49.456003]}",Hulunbuir_TNH_0,28.9,24.6,15.9,263.0,1762.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.94,12.514,7.955,30.882,True,2025-11-10 03:26:31.055,2025-11-10 03:13:38.103,X01B0801020304,已入库,2025-10-22 09:59:45.322,X01A0801020304,已入库,2025-10-22 09:59:45.320,False,2025-11-10 03:29:16.773,False,2025-11-10 05:47:20.311
