point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
22,022-A,26-00-01-067,2025-05-08 13:39:47,"{'type': 'Point', 'coordinates': [120.303915, 49.45444]}",Hulunbuir_TNH_0,25.2,21.5,13.5,163.0,1344.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.23,8.244,10.625,10.833,True,2025-11-10 03:26:29.997,2025-11-10 03:13:37.676,X01B0801010211,已入库,2025-10-22 09:59:44.856,X01A0801010211,已入库,2025-10-22 09:59:44.854,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
23,023-A,26-00-01-068,2025-05-08 13:44:32,"{'type': 'Point', 'coordinates': [120.305791, 49.454882]}",Hulunbuir_TNH_0,27.4,21.4,14.9,258.0,1868.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.79,12.716,14.0,37.5,True,2025-11-10 03:26:30.012,2025-11-10 03:13:37.683,X01B0801010212,已入库,2025-10-22 09:59:44.861,X01A0801010212,已入库,2025-10-22 09:59:44.859,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
24,024-A,26-00-01-069,2025-05-08 13:48:06,"{'type': 'Point', 'coordinates': [120.307498, 49.455261]}",Hulunbuir_TNH_0,24.1,22.0,12.9,176.0,1555.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.78,9.427,2.188,5.0,True,2025-11-10 03:26:30.030,2025-11-10 03:13:37.690,X01B0801010213,已入库,2025-10-22 09:59:44.867,X01A0801010213,已入库,2025-10-22 09:59:44.865,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
25,025-A,26-00-01-070,2025-05-08 13:52:40,"{'type': 'Point', 'coordinates': [120.30927, 49.455669]}",Hulunbuir_TNH_0,28.3,23.2,15.7,201.0,1398.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.72,13.319,10.364,75.833,True,2025-11-10 03:26:30.046,2025-11-10 03:13:37.696,X01B0801010214,已入库,2025-10-22 09:59:44.873,X01A0801010214,已入库,2025-10-22 09:59:44.871,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
26,026-A,26-00-01-071,2025-05-08 13:56:47,"{'type': 'Point', 'coordinates': [120.311039, 49.456087]}",Hulunbuir_TNH_0,28.1,21.8,15.4,183.0,1281.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.65,8.855,9.375,47.059,True,2025-11-10 03:26:30.061,2025-11-10 03:13:37.707,X01B0801010215,已入库,2025-10-22 09:59:44.878,X01A0801010215,已入库,2025-10-22 09:59:44.876,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
27,027-A,26-00-01-072,2025-05-08 14:02:55,"{'type': 'Point', 'coordinates': [120.312639, 49.456444]}",Hulunbuir_TNH_0,28.4,21.8,15.6,185.0,1268.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.63,14.612,6.545,1.333,True,2025-11-10 03:26:30.076,2025-11-10 03:13:37.713,X01B0801010216,已入库,2025-10-22 09:59:44.884,X01A0801010216,已入库,2025-10-22 09:59:44.882,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
28,028-A,26-00-01-073,2025-05-08 14:13:52,"{'type': 'Point', 'coordinates': [120.312893, 49.45603]}",Hulunbuir_TNH_0,27.8,23.6,15.2,193.0,1373.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.59,12.71,10.313,8.824,True,2025-11-10 03:26:30.091,2025-11-10 03:13:37.720,X01B0801010217,已入库,2025-10-22 09:59:44.894,X01A0801010217,已入库,2025-10-22 09:59:44.892,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
29,029-A,26-00-01-074,2025-05-08 14:18:43,"{'type': 'Point', 'coordinates': [120.311315, 49.455678]}",Hulunbuir_TNH_0,22.7,23.4,12.1,106.0,1026.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.48,15.0,5.455,0.0,True,2025-11-10 03:26:30.106,2025-11-10 03:13:37.726,X01B0801010218,已入库,2025-10-22 09:59:44.900,X01A0801010218,已入库,2025-10-22 09:59:44.898,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
30,030-A,26-00-01-075,2025-05-08 14:23:23,"{'type': 'Point', 'coordinates': [120.309454, 49.455247]}",Hulunbuir_TNH_0,26.5,22.5,14.3,179.0,1359.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.51,11.527,0.0,21.324,True,2025-11-10 03:26:30.121,2025-11-10 03:13:37.733,X01B0801010301,已入库,2025-10-22 09:59:44.906,X01A0801010301,已入库,2025-10-22 09:59:44.904,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
31,031-A,26-00-01-076,2025-05-08 14:26:56,"{'type': 'Point', 'coordinates': [120.307677, 49.454841]}",Hulunbuir_TNH_0,29.3,23.3,16.2,198.0,1291.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.53,13.793,6.364,9.333,True,2025-11-10 03:26:30.140,2025-11-10 03:13:37.739,X01B0801010302,已入库,2025-10-22 09:59:44.911,X01A0801010302,已入库,2025-10-22 09:59:44.909,False,2025-11-10 03:29:16.773,False,2025-11-10 05:47:20.311
32,032-A,26-00-01-077,2025-05-08 14:30:43,"{'type': 'Point', 'coordinates': [120.305981, 49.454449]}",Hulunbuir_TNH_0,28.1,23.8,15.4,201.0,1407.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,7.16,8.626,12.813,18.382,True,2025-11-10 03:26:30.156,2025-11-10 03:13:37.745,X01B0801010303,已入库,2025-10-22 09:59:44.917,X01A0801010303,已入库,2025-10-22 09:59:44.915,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
33,033-A,26-00-01-078,2025-05-08 14:35:11,"{'type': 'Point', 'coordinates': [120.304085, 49.454009]}",Hulunbuir_TNH_0,29.0,23.9,15.9,215.0,1428.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,7.08,15.776,8.0,14.667,True,2025-11-10 03:26:30.171,2025-11-10 03:13:37.752,X01B0801010304,已入库,2025-10-22 09:59:44.923,X01A0801010304,已入库,2025-10-22 09:59:44.921,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
34,034-A,26-00-01-079,2025-05-08 14:59:05,"{'type': 'Point', 'coordinates': [120.302427, 49.453618]}",Hulunbuir_TNH_0,25.4,23.5,13.8,187.0,1526.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.81,6.298,4.375,3.676,True,2025-11-10 03:26:30.185,2025-11-10 03:13:37.764,X01B0801010305,已入库,2025-10-22 09:59:44.933,X01A0801010305,已入库,2025-10-22 09:59:44.931,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
35,035-A,26-00-01-080,2025-05-08 15:02:40,"{'type': 'Point', 'coordinates': [120.300552, 49.453238]}",Hulunbuir_TNH_0,23.3,21.8,12.5,160.0,1477.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.66,23.491,7.455,5.333,True,2025-11-10 03:26:30.197,2025-11-10 03:13:37.770,X01B0801010306,已入库,2025-10-22 09:59:44.939,X01A0801010306,已入库,2025-10-22 09:59:44.937,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
36,036-A,26-00-01-081,2025-05-08 15:05:43,"{'type': 'Point', 'coordinates': [120.298912, 49.452801]}",Hulunbuir_TNH_0,30.1,22.2,16.6,247.0,1541.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.6,9.046,12.5,19.853,True,2025-11-10 03:26:30.208,2025-11-10 03:13:37.776,X01B0801010307,已入库,2025-10-22 09:59:44.944,X01A0801010307,已入库,2025-10-22 09:59:44.942,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
37,037-A,26-00-01-082,2025-05-08 15:09:47,"{'type': 'Point', 'coordinates': [120.299114, 49.452349]}",Hulunbuir_TNH_0,28.5,22.0,15.6,252.0,1725.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.34,13.19,5.091,0.667,True,2025-11-10 03:26:30.219,2025-11-10 03:13:37.782,X01B0801010308,已入库,2025-10-22 09:59:44.950,X01A0801010308,已入库,2025-10-22 09:59:44.948,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
38,038-A,26-00-01-083,2025-05-08 15:15:37,"{'type': 'Point', 'coordinates': [120.300755, 49.452785]}",Hulunbuir_TNH_0,27.7,21.7,15.1,227.0,1609.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.31,9.695,6.563,2.941,True,2025-11-10 03:26:30.237,2025-11-10 03:13:37.788,X01B0801010309,已入库,2025-10-22 09:59:44.956,X01A0801010309,已入库,2025-10-22 09:59:44.954,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
39,039-A,26-00-01-084,2025-05-08 15:18:43,"{'type': 'Point', 'coordinates': [120.30263, 49.453168]}",Hulunbuir_TNH_0,30.9,21.5,17.4,234.0,1417.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.21,9.526,9.273,8.0,True,2025-11-10 03:26:30.251,2025-11-10 03:13:37.794,X01B0801010310,已入库,2025-10-22 09:59:44.962,X01A0801010310,已入库,2025-10-22 09:59:44.960,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
40,040-A,26-00-01-085,2025-05-08 15:22:37,"{'type': 'Point', 'coordinates': [120.304276, 49.453554]}",Hulunbuir_TNH_0,23.2,20.8,12.4,153.0,1427.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.3,7.328,11.875,44.118,True,2025-11-10 03:26:30.266,2025-11-10 03:13:37.800,X01B0801010311,已入库,2025-10-22 09:59:44.972,X01A0801010311,已入库,2025-10-22 09:59:44.970,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
41,041-A,26-00-01-086,2025-05-08 15:26:13,"{'type': 'Point', 'coordinates': [120.306204, 49.454]}",Hulunbuir_TNH_0,22.2,20.5,11.8,137.0,1365.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.27,7.198,7.455,0.0,True,2025-11-10 03:26:30.281,2025-11-10 03:13:37.806,X01B0801010312,已入库,2025-10-22 09:59:44.978,X01A0801010312,已入库,2025-10-22 09:59:44.976,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
